Entity,Code,Year,Men Overweight or Obese (%),Men (BMI),Women overweight or obese (%),Women (BMI),Daily caloric supply (per person) (kcal/person/day),Total population (Gapminder),HIV/AIDS and tuberculosis (DALYs),Diarrhea & common infectious diseases (DALYs),Malaria & neglected tropical diseases (DALYs),Maternal disorders (DALYs),Neonatal disorders (DALYs),Nutritional deficiencies (DALYs),Other communicable diseases (DALYs),Cancers (DALYs),Cardiovascular diseases (DALYs),Respiratory diseases (DALYs),Liver diseases (DALYs),Digestive diseases (DALYs),Neurological disorders (DALYs),Mental and substance use disorders (DALYs),"Diabetes, blood, & endocrine diseases (DALYs)",Musculoskeletal disorders (DALYs),Other NCDs (DALYs),Transport injuries (DALYs),Natural disasters (DALYs),Conflict and terrorism (DALYs),Self-harm (DALYs),Interpersonal violence (DALYs),Unintentional injuries (DALYs),% Adults > 25BMI
Jordan,JOR,2013,61.9,27.81533668,69.7,29.61377931,3100.0,6572903.0,1025.3400478,70171.4074288,2884.31486579,4423.81558613,153183.07190399998,32886.993685299996,7034.44849469,104774.946989,176058.462867,38787.9231706,12332.2097142,14401.262209,93543.2967408,156020.49920299998,134010.45491600002,123274.564041,236715.490759,73073.89199169999,0.0,310.337107191,10015.885162100001,17269.2913285,67900.27272159999,64.0
Kazakhstan,KAZ,2013,58.9,27.00257386,55.0,27.24040896,3264.0,16550975.0,72525.932772,213334.50277300001,10326.2566625,4952.97820205,258213.418325,131221.77551099999,21771.055467200003,496114.97618500004,1435093.7540799999,174176.25764300002,243486.19845999999,79789.6824416,224095.57280300002,423582.17873000004,223954.24523000003,288696.762631,479447.88802700007,213775.452977,446.049946508,94.55103175010001,221647.850509,100774.892921,375662.841046,51.4
Kenya,KEN,2013,16.7,22.22709701,33.1,23.88753534,2206.0,43923719.0,3307821.3239,4837779.71625,398893.610948,224542.015344,1861098.4095400001,603050.54244,227906.352895,441354.82485900004,704791.703953,217805.652555,121213.44047100001,211676.813927,367338.27132,707833.464433,415910.970113,427549.912529,970026.231924,229019.30669499998,7253.37045911,9501.04923381,78770.15796699999,206893.959018,569049.93885,20.7
Kiribati,KIR,2013,68.7,28.22293221,78.0,30.69435239,3040.0,104251.0,1665.58057263,6215.81648394,107.47598146600001,280.656993144,5216.63617584,1999.18351336,564.093778994,2665.85716859,8475.00935971,2672.26395693,902.446142996,1320.64641785,1241.53120556,1860.74279768,5927.94580442,1547.09716562,4023.27798464,966.411281131,0.0,5.10254726069,1420.51533797,297.915429495,1715.30590891,76.7
Kuwait,KWT,2013,72.4,28.21360246,73.6,30.23553874,3501.0,2959015.0,911.574740322,20687.2748301,35.8783237823,537.52806026,22116.5940632,12365.9170449,5609.4837941000005,26276.320803,70760.9562589,14596.9062306,4027.49578566,5246.35835605,46531.7435051,88914.2013632,42012.9155651,68935.3728329,84100.9923808,31472.1905637,1.20772794311,495.333422431,5056.55357866,2953.71832023,26751.2041208,70.2
Kyrgyzstan,KGZ,2013,44.4,25.53298035,47.2,26.71978601,2817.0,5503253.0,37374.4060928,150030.415606,3898.42851193,4399.97798435,217444.12511599998,42601.6574061,12086.606339,103521.383491,345524.089206,43240.7791145,76036.82920289999,20161.8515843,73468.3724737,125254.83078399999,71187.2058871,83884.7317296,165160.723651,60788.276752,1079.80246766,221.77459293099997,34023.0412288,18933.6158051,99376.7890849,43.0
Laos,LAO,2013,13.8,22.17324596,21.6,22.58314705,2451.0,6458911.0,87034.9885237,674889.179623,24472.9281623,30515.5685175,512716.48069399997,56787.7259827,25485.6948115,126787.121833,327121.626883,88705.99623589999,35018.340821599995,48156.4944133,69075.0094668,110176.602652,130814.629144,89023.40274810001,296659.015119,101892.128878,1207.26899699,213.902897969,34012.1902964,4812.24257241,147392.736655,20.1
Latvia,LVA,2013,62.4,26.72606422,53.0,25.95308391,3174.0,2226260.0,8279.25237902,15804.9497044,139.26128786700002,244.588933788,7009.01296021,2386.33942283,1508.98432555,114925.67947,259371.13214899998,12493.9360036,13443.241036000001,13729.200773100001,40298.293993800005,58449.92531769999,36089.7845185,56274.80232409999,57102.9737844,15754.580287399998,0.651588650568,0.0,18279.283525,7505.54707779,60615.904665999995,60.2
Lebanon,LBN,2013,63.9,27.47268832,66.8,27.15356139,3066.0,4324060.0,2753.8361931,26986.3507023,542.626668506,713.0574190030001,36406.9136895,15667.3390183,5026.82580032,137213.508977,156810.328355,34775.645778699996,9470.28088755,8833.02775754,84491.8059807,129864.89136400001,77648.32699339998,95533.35990610001,137757.349533,22535.072127900003,8.591247725610001,68801.6858491,6347.77186663,10444.030300299999,40756.3592349,64.9
Lesotho,LSO,2013,18.3,22.65961116,51.5,26.94300924,2529.0,2240126.0,752294.175255,246734.55695,5985.83036042,12721.810457,121855.45205699999,24663.890677,10820.2390459,44927.5483601,98909.885295,38663.6563741,6690.14008566,13070.4395157,27436.3797326,48484.452696,65137.0204238,25140.792180599998,55658.528646000006,50603.914077,3.8753997040900003,22.6255347794,24632.9102971,44058.0547052,41270.5912145,31.4
